iter	RMSE
0	1396534.41
1	1338127.85
2	1283697.394
3	1232209.652
4	1185848.313
5	1140950.585
6	1102045.484
7	1066012.507
8	1030748.935
9	999756.7542
10	970459.3866
11	943263.573
12	918540.1576
13	894185.4835
14	872470.2912
15	851114.5871
16	832294.9464
17	815529.5264
18	797223.5338
19	782452.4257
20	767184.6421
21	752510.7942
22	740383.4632
23	728422.366
24	715564.4006
25	713507.0198
26	711540.3977
27	710217.0084
28	698729.1311
29	696799.4113
30	689837.8087
31	688648.2231
32	687494.2544
33	677637.6379
34	676544.9049
35	675487.8755
36	673937.3407
37	664819.7134
38	663845.7214
39	662442.8767
40	661106.605
41	651736.1067
42	648348.4179
43	647504.0398
44	638422.462
45	637602.6185
46	636415.9107
47	633315.4996
48	632210.8067
49	624932.7394
50	618308.3045
51	617298.7244
52	614894.0549
53	614246.7876
54	613084.6505
55	605995.2289
56	605159.9204
57	604329.9745
58	603552.9401
59	597172.3655
60	596440.9984
61	595735.9208
62	589706.5897
63	585990.5606
64	585523.122
65	584854.0326
66	579697.1202
67	575634.4583
68	575097.8688
69	570114.146
70	569719.5306
71	569244.6245
72	564245.2109
73	563773.9142
74	558518.2843
75	557466.3974
76	557053.3006
77	556643.2187
78	552576.1098
79	551110.0683
80	548104.0146
81	544042.0134
82	543772.8473
83	542992.8341
84	538599.9896
85	538283.156
86	536349.1005
87	532947.9563
88	529557.3332
89	527588.5429
90	526088.5984
91	525876.0836
92	525671.7615
93	525427.2712
94	520379.3414
95	520144.0023
96	516782.323
97	513953.254
98	510045.2425
99	507977.8749
100	506640.952
101	504699.5089
102	502323.3573
103	501616.0551
104	499858.8815
105	499679.3027
106	498606.7328
107	496368.228
108	494221.765
109	492688.6298
110	490784.6068
111	488529.1144
112	486496.165
113	485218.3504
114	484140.1284
115	482227.4595
116	480790.7732
117	479847.3292
118	478021.4458
119	476236.8464
120	474868.001
121	473576.9759
122	472757.3031
123	471084.1133
124	469635.9598
125	469286.9299
126	468651.4029
127	467357.1446
128	465670.1207
129	463359.8141
130	462763.2341
131	462688.9682
132	459959.6432
133	459901.1393
134	457688.4712
135	456212.2339
136	455148.855
137	455094.3956
138	453835.3687
139	452900.5087
140	451049.1937
141	449398.9735
142	448274.4826
143	447969.5394
144	447009.2697
145	445194.4834
146	444406.4758
147	442755.7643
148	441662.5904
149	440765.3833
150	439507.7887
151	438381.896
152	437689.6571
153	435448.3853
154	435127.1445
155	434631.1949
156	433271.0017
157	431994.1805
158	431615.1275
159	430213.5202
160	429244.6662
161	427741.0705
162	427556.9937
163	427057.0375
164	426475.6167
165	424703.4144
166	424185.1806
167	423548.8144
168	422829.4589
169	422174.9305
170	421073.6656
171	419723.7652
172	419420.9084
173	417884.3078
174	416926.5797
175	416171.1361
176	415125.7836
177	413493.2829
178	412814.2445
179	411787.4481
180	410023.4774
181	409334.5872
182	408052.0198
183	407220.2175
184	405639.559
185	404772.04
186	404130.7962
187	403295.8168
188	402301.357
189	401481.2517
190	400454.197
191	399386.0531
192	398593.3878
193	397905.7712
194	397242.2515
195	396335.9836
196	395588.691
197	395090.5008
198	394370.8506
199	393467.9843
200	393449.3202
201	393253.0093
202	392645.2978
203	391867.2059
204	390883.4706
205	390386.3184
206	389648.8979
207	389025.9501
208	388206.3712
209	387587.0036
210	387130.169
211	385605.2502
212	384643.6764
213	383684.4381
214	383035.0815
215	381765.0761
216	381109.0078
217	380467.4284
218	379560.8624
219	378392.6823
220	377685.4177
221	376698.0927
222	376105.1642
223	374990.163
224	374862.5468
225	374270.0443
226	373415.6016
227	372654.4528
228	372505.6225
229	371796.7812
230	371502.6214
231	371358.7115
232	370682.7024
233	369918.3468
234	369111.8434
235	368598.364
236	368030.0054
237	367922.3484
238	367163.492
239	366383.6691
240	365429.7224
241	364827.5818
242	364262.2582
243	364158.7938
244	363425.4565
245	362710.0768
246	362235.159
247	361726.4456
248	361317.0975
249	360945.6064
250	360399.3178
251	359556.3751
252	359433.0779
253	358940.2071
254	358254.471
255	357740.9241
256	357655.5444
257	357161.9374
258	356676.5641
259	355921.2188
260	355422.4393
261	354629.8132
262	354149.8993
263	353720.3182
264	353349.9069
265	352947.0563
266	352576.0464
267	352497.3819
268	352145.0172
269	351729.5959
270	351458.6166
271	351228.7968
272	350875.132
273	350326.1363
274	349879.9607
275	349410.6838
276	349027.7305
277	348529.0491
278	348020.0187
279	347233.1185
280	346550.52
281	346116.7769
282	345368.9078
283	344920.7723
284	344428.8142
285	343821.7358
286	343750.1755
287	343200.9958
288	342504.2962
289	342188.4113
290	341380.852
291	340810.4294
292	340345.7749
293	339918.0663
294	339087.7465
295	338821.4756
296	338197.9456
297	337942.7268
298	337373.0651
299	336893.9896
300	336543.2065
301	336273.8961
302	335593.3618
303	334976.0984
304	334560.9626
305	334143.3683
306	333805.0841
307	333379.8165
308	333139.3246
309	332660.4768
310	332226.3873
311	331899.7611
312	331635.062
313	331292.8714
314	330802.8678
315	330341.1877
316	330122.177
317	329840.521
318	329505.7565
319	329281.6208
320	329080.7934
321	328610.5549
322	328414.3168
323	328083.4172
324	327413.814
325	327342.8308
326	326807.9076
327	326446.5907
328	325957.3983
329	325567.5172
330	325226.4201
331	324838.7884
332	324514.3869
333	324163.8728
334	323803.802
335	323319.125
336	322940.5604
337	322892.3881
338	322458.0189
339	322209.7326
340	322059.4244
341	321612.2113
342	321038.8124
343	320785.6812
344	320522.8887
345	320237.6119
346	320107.5728
347	319745.9896
348	319427.2651
349	319128.5601
350	318871.2734
351	318694.6318
352	318255.2964
353	317982.3767
354	317708.3144
355	317653.3251
356	317326.8788
357	316962.0466
358	316706.4507
359	316373.1429
360	315850.918
361	315410.5516
362	315189.8459
363	314666.391
364	314463.7414
365	314114.0928
366	313745.4503
367	313508.4698
368	313104.4832
369	312707.9579
370	312442.2581
371	312066.452
372	312018.9392
373	311727.208
374	311407.5391
375	311040.0428
376	310638.017
377	310339.7284
378	310155.0086
379	309873.6292
380	309547.3662
381	309201.7011
382	308901.187
383	308730.7248
384	308416.1045
385	308099.9676
386	307726.2971
387	307561.7703
388	307194.674
389	306952.6355
390	306720.2061
391	306452.3496
392	306156.7034
393	305788.5364
394	305418.3232
395	305214.9005
396	305049.3245
397	304777.043
398	304642.3083
399	304305.161
400	303870.1526
401	303646.2623
402	303433.593
403	303203.758
404	302933.1646
405	302648.9094
406	302316.4596
407	301901.5603
408	301683.7907
409	301451.0279
410	301017.3462
411	300746.9795
412	300587.7599
413	300324.4163
414	300012.1291
415	299733.2073
416	299418.0185
417	299086.9322
418	298853.5544
419	298627.3029
420	298154.6676
421	297888.4322
422	297636.1362
423	297240.1828
424	297004.9548
425	296707.3776
426	296278.3202
427	295846.8482
428	295648.2984
429	295343.2654
430	295157.0416
431	294936.6578
432	294722.5052
433	294494.578
434	294230.0638
435	293866.3824
436	293582.6817
437	293380.7078
438	293292.0046
439	293085.6966
440	292843.8376
441	292650.6604
442	292354.4884
443	292191.2039
444	291858.9383
445	291686.4747
446	291398.0058
447	291187.9364
448	290922.2887
449	290623.4477
450	290415.6823
451	290124.8609
452	289960.3315
453	289720.108
454	289460.1418
455	289215.8381
456	288988.1687
457	288782.553
458	288621.3618
459	288453.2444
460	288241.4623
461	287988.9304
462	287810.389
463	287601.0198
464	287485.377
465	287335.9203
466	287131.731
467	286813.0106
468	286630.6182
469	286453.7793
470	286264.7029
471	286041.9105
472	285861.6738
473	285579.7477
474	285267.4233
475	285095.18
476	284963.5649
477	284713.1086
478	284431.2555
479	284099.648
480	283965.6861
481	283698.4757
482	283450.2789
483	283289.6059
484	283075.2607
485	282865.5067
486	282668.7077
487	282448.2433
488	282326.7937
489	282072.6411
490	281922.8402
491	281750.3006
492	281661.6461
493	281513.9137
494	281345.6301
495	281221.4563
496	281062.7038
497	280932.1991
498	280804.4473
499	280633.3712
500	280470.9856
501	280279.8194
502	280082.6573
503	279976.3601
504	279758.8567
505	279634.2262
506	279396.2739
507	279235.5901
508	279076.5307
509	278865.4806
510	278609.587
511	278437.795
512	278205.3739
513	278017.5382
514	277843.2601
515	277632.7456
516	277477.9785
517	277300.7659
518	277153.9637
519	276927.8949
520	276641.8876
521	276493.3623
522	276247.2133
523	276036.7366
524	275861.8609
525	275698.0609
526	275522.03
527	275351.7026
528	275134.2363
529	275025.5693
530	274883.7994
531	274711.084
532	274504.7564
533	274309.9254
534	274172.8363
535	273969.5281
536	273746.9607
537	273431.0729
538	273277.1055
539	273036.9794
540	272839.433
541	272739.1736
542	272555.1388
543	272366.5186
544	272243.4137
545	272088.8737
546	271960.7637
547	271805.5734
548	271690.7295
549	271573.9405
550	271382.7128
551	271134.8211
552	271014.944
553	270888.4621
554	270719.7333
555	270478.5898
556	270320.7297
557	270221.619
558	270025.444
559	269923.9309
560	269820.9138
561	269579.095
562	269462.2941
563	269312.6704
564	269164.0099
565	268913.1313
566	268748.2471
567	268606.4028
568	268415.8535
569	268263.873
570	268104.4415
571	267937.4898
572	267780.0027
573	267695.0146
574	267493.2069
575	267390.121
576	267244.397
577	267068.8081
578	266927.1525
579	266779.1016
580	266696.6077
581	266529.2413
582	266316.8145
583	266117.4653
584	265961.3838
585	265768.9961
586	265662.5201
587	265493.1346
588	265366.2452
589	265247.5258
590	265035.6545
591	264883.7537
592	264774.3192
593	264586.371
594	264452.7341
595	264356.1406
596	264261.2132
597	264135.6779
598	264017.568
599	263868.1472
600	263779.1858
601	263600.7112
602	263435.8303
603	263272.2494
604	263141.1128
605	263006.6574
606	262881.0945
607	262758.769
608	262542.1366
609	262478.3461
610	262384.8021
611	262198.0689
612	261971.1894
613	261861.0024
614	261772.9649
615	261587.2931
616	261455.3614
617	261334.2224
618	261179.0697
619	261089.8949
620	260958.5703
621	260808.7513
622	260713.6901
623	260516.8718
624	260455.0712
625	260371.926
626	260301.9006
627	260187.0721
628	260106.8976
629	260011.4346
630	259869.7454
631	259680.5103
632	259545.2741
633	259411.178
634	259271.9038
635	259134.2115
636	259001.3385
637	258886.023
638	258762.2395
639	258632.4118
640	258526.5807
641	258463.1433
642	258383.5889
643	258156.6859
644	258007.5815
645	257881.11
646	257791.5062
647	257675.6508
648	257479.6238
649	257320.6938
650	257255.1313
651	257111.1243
652	256953.6379
653	256846.4787
654	256750.3096
655	256668.7697
656	256599.4345
657	256495.6861
658	256408.0878
659	256288.1765
660	256148.6607
661	256082.2052
662	255961.3738
663	255843.7159
664	255642.6099
665	255472.946
666	255399.0198
667	255230.4012
668	255105.4129
669	254954.0036
670	254881.0801
671	254773.2883
672	254669.6917
673	254596.2091
674	254522.255
675	254416.5851
676	254307.1369
677	254207.8149
678	254114.4767
679	253975.0026
680	253923.8913
681	253804.4857
682	253662.3806
683	253537.697
684	253444.1463
685	253253.1632
686	253127.4094
687	253022.9038
688	252910.751
689	252831.7374
690	252711.3547
691	252660.4968
692	252574.1622
693	252499.501
694	252323.8608
695	252168.3038
696	252079.5481
697	251883.2303
698	251765.6562
699	251678.4254
700	251576.4964
701	251497.9404
702	251319.392
703	251258.5401
704	251198.137
705	251076.9802
706	250980.2653
707	250784.0857
708	250701.3897
709	250585.2281
710	250461.9799
711	250321.0974
712	250221.936
713	250094.5851
714	250017.6474
715	249919.2303
716	249844.1526
717	249697.9142
718	249529.3691
719	249423.155
720	249304.8764
721	249197.2122
722	249083.0189
723	249006.895
724	248879.7825
725	248752.3458
726	248652.2187
727	248561.5633
728	248431.2688
729	248348.7986
730	248294.9857
731	248220.7826
732	248175.7129
733	248055.1863
734	247944.1336
735	247746.981
736	247661.2154
737	247554.3998
738	247489.2759
739	247314.632
740	247192.9202
741	247093.4161
742	247022.9748
743	246893.2433
744	246835.1214
745	246725.4908
746	246608.5823
747	246507.3813
748	246378.346
749	246303.3217
750	246167.4743
751	246044.7987
752	245918.7177
753	245845.7164
754	245749.7609
755	245658.6037
756	245564.8931
757	245470.3446
758	245356.2653
759	245301.7361
760	245191.0121
761	245095.537
762	245002.0848
763	244900.8131
764	244792.4228
765	244698.8088
766	244550.4339
767	244443.353
768	244377.9976
769	244291.7452
770	244159.5849
771	244024.0413
772	243929.6943
773	243803.9982
774	243744.456
775	243683.7437
776	243582.8645
777	243471.0713
778	243384.5361
779	243303.7191
780	243221.0581
781	243105.3219
782	243007.6365
783	242944.8061
784	242823.8606
785	242724.7723
786	242582.1135
787	242505.8857
788	242400.3022
789	242281.5185
790	242219.5618
791	242079.6036
792	241999.8743
793	241951.5579
794	241864.864
795	241739.6299
796	241686.6211
797	241591.7568
798	241449.7357
799	241376.1607
800	241309.4735
801	241176.6794
802	241105.2636
803	240990.4634
804	240950.4723
805	240849.3471
806	240709.9188
807	240534.6288
808	240430.7279
809	240363.8466
810	240305.8721
811	240224.5341
812	240159.0219
813	240071.9327
814	239998.7836
815	239920.8724
816	239862.4768
817	239807.356
818	239691.1177
819	239571.1875
820	239403.1163
821	239308.0655
822	239202.642
823	239113.8243
824	239015.4438
825	238865.9325
826	238834.252
827	238756.55
828	238670.0406
829	238635.9583
830	238605.3307
831	238516.2432
832	238415.3523
833	238363.5027
834	238272.8717
835	238179.6151
836	238113.4046
837	237981.354
838	237920.0326
839	237835.3943
840	237805.5609
841	237723.2221
842	237634.1426
843	237554.5011
844	237528.9005
845	237487.0785
846	237362.3372
847	237244.0848
848	237193.398
849	237162.8564
850	237097.85
851	237014.869
852	236906.3414
853	236794.285
854	236733.3905
855	236652.4706
856	236545.8425
857	236427.4864
858	236347.1633
859	236209.7845
860	236111.9438
861	236025.1826
862	235952.7838
863	235917.0971
864	235853.563
865	235765.8509
866	235688.0498
867	235580.1637
868	235501.1575
869	235424.0527
870	235361.677
871	235310.4087
872	235191.2275
873	235086.9202
874	235000.811
875	234919.3606
876	234838.404
877	234700.2341
878	234630.7257
879	234553.5891
880	234471.6028
881	234412.2868
882	234336.7058
883	234239.2866
884	234159.5917
885	234060.2229
886	233984.4938
887	233893.6793
888	233789.8409
889	233756.9946
890	233691.7877
891	233556.6968
892	233506.5508
893	233424.787
894	233368.79
895	233317.456
896	233257.4702
897	233196.625
898	233141.1368
899	233046.1579
900	233013.0551
901	232870.7445
902	232828.0313
903	232758.9222
904	232697.4007
905	232612.3195
906	232536.2365
907	232435.9943
908	232340.8826
909	232259.4004
910	232156.709
911	232083.6601
912	232022.8519
913	231926.4172
914	231864.9431
915	231746.0802
916	231678.1355
917	231623.0775
918	231567.4568
919	231491.6755
920	231444.2324
921	231398.3549
922	231286.5613
923	231242.9269
924	231199.9018
925	231140.4359
926	231067.7353
927	230986.2947
928	230925.1644
929	230838.2584
930	230778.8884
931	230689.1493
932	230645.654
933	230588.0837
934	230519.1213
935	230399.806
936	230361.2051
937	230296.2053
938	230217.3372
939	230135.2471
940	230069.9607
941	230010.5535
942	229938.6038
943	229869.9889
944	229779.2267
945	229703.7557
946	229651.2206
947	229552.357
948	229459.8168
949	229338.7913
950	229205.8129
951	229144.001
952	229063.2475
953	228983.3071
954	228864.9537
955	228769.0223
956	228716.8677
957	228659.2729
958	228593.9289
959	228494.0216
960	228399.1611
961	228330.1999
962	228279.4401
963	228210.8129
964	228121.4326
965	228088.1536
966	228021.4881
967	227933.5609
968	227864.1377
969	227767.8229
970	227697.974
971	227622.1391
972	227544.1907
973	227458.1563
974	227407.1358
975	227357.5233
976	227292.1041
977	227228.5485
978	227162.2106
979	227080.4873
980	227034.8224
981	227001.2789
982	226940.2089
983	226880.3242
984	226817.4745
985	226734.7851
986	226647.6018
987	226573.2369
988	226536.1727
989	226461.715
990	226417.3175
991	226339.859
992	226297.5456
993	226209.677
994	226135.2703
995	226074.884
996	225990.4176
997	225915.8323
998	225821.5529
999	225776.4301
1000	225696.5364
1001	225607.4098
1002	225564.0173
1003	225509.0304
1004	225463.291
1005	225435.7731
1006	225374.3687
1007	225307.7025
1008	225248.7666
1009	225196.2812
1010	225153.5265
1011	225090.9367
1012	225004.7198
1013	224954.6988
1014	224882.2117
1015	224824.1957
1016	224755.7404
1017	224691.3781
1018	224615.1558
1019	224561.8384
1020	224491.1669
1021	224377.8028
1022	224323.2301
1023	224286.6183
1024	224219.6885
1025	224146.1761
1026	224119.4755
1027	224008.4434
1028	223975.1689
1029	223900.6816
1030	223840.9256
1031	223790.8546
1032	223710.7864
1033	223658.0555
1034	223547.6041
1035	223514.5311
1036	223452.5606
1037	223413.0105
1038	223382.6324
1039	223336.4939
1040	223285.5983
1041	223224.6359
1042	223141.5709
1043	223084.7659
1044	223010.3102
1045	222970.0239
1046	222877.8571
1047	222810.4141
1048	222752.4239
1049	222707.8558
1050	222621.0217
1051	222554.585
1052	222532.1706
1053	222477.1749
1054	222418.811
1055	222341.9844
1056	222272.0416
1057	222196.7135
1058	222121.9198
1059	222051.6888
1060	221989.1992
1061	221949.5353
1062	221897.5219
1063	221828.705
1064	221750.3894
1065	221721.5739
1066	221655.3047
1067	221575.8441
1068	221509.3627
1069	221451.8462
1070	221350.3905
1071	221292.6293
1072	221235.6592
1073	221184.8645
1074	221133.1453
1075	221066.4782
1076	221048.1876
1077	221009.6903
1078	220963.8635
1079	220893.4986
1080	220850.0648
1081	220764.9816
1082	220657.2002
1083	220586.3583
1084	220542.5027
1085	220487.5112
1086	220458.1012
1087	220385.2868
1088	220318.7775
1089	220271.6645
1090	220246.5717
1091	220194.4863
1092	220142.5764
1093	220113.8244
1094	220054.3482
1095	219996.8244
1096	219908.0111
1097	219863.026
