iter	Passed	Remaining
0	128	256145
1	178	178807
2	228	152095
3	278	138848
4	335	133959
5	385	128125
6	454	129523
7	503	125294
8	550	121831
9	599	119222
10	645	116719
11	692	114720
12	740	113209
13	803	113955
14	853	112925
15	906	112405
16	963	112393
17	1017	112049
18	1067	111298
19	1116	110537
20	1166	109967
21	1219	109626
22	1264	108723
23	1311	108002
24	1362	107648
25	1395	105935
26	1426	104205
27	1454	102460
28	1507	102433
29	1541	101239
30	1588	100896
31	1621	99745
32	1653	98535
33	1704	98576
34	1738	97625
35	1768	96488
36	1808	95939
37	1858	95942
38	1892	95161
39	1936	94869
40	1971	94202
41	2030	94669
42	2074	94430
43	2106	93627
44	2157	93726
45	2192	93119
46	2230	92698
47	2273	92475
48	2308	91934
49	2355	91853
50	2403	91851
51	2441	91452
52	2483	91229
53	2515	90665
54	2557	90438
55	2604	90425
56	2633	89780
57	2675	89593
58	2707	89071
59	2756	89127
60	2790	88708
61	2823	88258
62	2870	88247
63	2925	88497
64	2961	88166
65	3011	88233
66	3059	88273
67	3111	88391
68	3141	87928
69	3193	88051
70	3226	87651
71	3265	87452
72	3317	87584
73	3351	87221
74	3401	87295
75	3441	87125
76	3470	86683
77	3511	86521
78	3559	86556
79	3603	86481
80	3657	86651
81	3707	86723
82	3737	86313
83	3777	86173
84	3826	86213
85	3865	86028
86	3912	86035
87	3967	86193
88	4023	86400
89	4072	86432
90	4117	86370
91	4150	86075
92	4177	85670
93	4231	85802
94	4283	85892
95	4324	85765
96	4374	85823
97	4423	85848
98	4473	85896
99	4516	85813
100	4560	85749
101	4608	85748
102	4656	85757
103	4697	85643
104	4744	85632
105	4786	85521
106	4831	85478
107	4882	85530
108	4936	85649
109	4989	85736
110	5045	85862
111	5098	85939
112	5150	86010
113	5196	85978
114	5244	85962
115	5290	85928
116	5340	85945
117	5385	85891
118	5429	85826
119	5478	85833
120	5527	85833
121	5575	85826
122	5625	85844
123	5673	85830
124	5722	85832
125	5764	85736
126	5808	85662
127	5857	85663
128	5911	85742
129	5972	85913
130	6018	85869
131	6056	85714
132	6106	85727
133	6134	85430
134	6186	85459
135	6235	85460
136	6286	85481
137	6315	85217
138	6360	85157
139	6410	85163
140	6459	85165
141	6507	85151
142	6552	85090
143	6593	84978
144	6643	84992
145	6694	85005
146	6743	85006
147	6791	84986
148	6838	84957
149	6908	85209
150	6962	85259
151	7013	85274
152	7062	85255
153	7119	85341
154	7161	85247
155	7205	85172
156	7253	85143
157	7307	85189
158	7350	85110
159	7400	85111
160	7451	85115
161	7503	85137
162	7545	85039
163	7591	84986
164	7642	84989
165	7693	84996
166	7737	84932
167	7787	84919
168	7831	84847
169	7884	84872
170	7941	84938
171	7995	84974
172	8039	84907
173	8093	84935
174	8147	84969
175	8199	84975
176	8251	84987
177	8304	85002
178	8354	84992
179	8404	84979
180	8454	84970
181	8506	84974
182	8557	84963
183	8603	84910
184	8658	84946
185	8707	84923
186	8760	84933
187	8812	84936
188	8864	84944
189	8919	84970
190	8969	84952
191	9021	84951
192	9069	84918
193	9115	84858
194	9163	84824
195	9214	84812
196	9264	84790
197	9320	84823
198	9367	84774
199	9412	84709
200	9445	84538
201	9489	84464
202	9539	84442
203	9591	84439
204	9644	84449
205	9697	84449
206	9749	84451
207	9803	84464
208	9857	84474
209	9918	84545
210	9970	84539
211	10026	84562
212	10077	84549
213	10134	84583
214	10181	84526
215	10230	84494
216	10278	84455
217	10325	84404
218	10381	84425
219	10432	84411
220	10491	84455
221	10546	84464
222	10601	84480
223	10658	84504
224	10701	84419
225	10750	84383
226	10803	84382
227	10855	84371
228	10906	84347
229	10962	84364
230	11016	84363
231	11062	84304
232	11121	84345
233	11173	84324
234	11228	84331
235	11278	84300
236	11328	84268
237	11366	84153
238	11418	84134
239	11467	84091
240	11516	84056
241	11567	84030
242	11623	84039
243	11662	83932
244	11714	83913
245	11770	83921
246	11820	83894
247	11868	83845
248	11924	83852
249	11975	83825
250	12031	83834
251	12097	83913
252	12142	83845
253	12191	83803
254	12236	83736
255	12287	83707
256	12327	83603
257	12378	83578
258	12425	83522
259	12475	83488
260	12520	83419
261	12570	83387
262	12621	83362
263	12677	83364
264	12725	83315
265	12778	83301
266	12828	83262
267	12872	83188
268	12933	83224
269	12983	83189
270	13030	83137
271	13084	83125
272	13134	83087
273	13180	83026
274	13227	82975
275	13284	82981
276	13327	82899
277	13376	82856
278	13428	82832
279	13486	82845
280	13543	82849
281	13595	82824
282	13647	82801
283	13696	82755
284	13746	82717
285	13796	82684
286	13837	82588
287	13893	82588
288	13958	82637
289	14009	82607
290	14067	82615
291	14111	82544
292	14159	82494
293	14211	82463
294	14270	82476
295	14318	82428
296	14373	82418
297	14420	82363
298	14480	82380
299	14527	82323
300	14571	82247
301	14620	82202
302	14675	82189
303	14730	82181
304	14779	82133
305	14828	82092
306	14881	82065
307	14938	82067
308	14990	82035
309	15040	81995
310	15096	81985
311	15144	81935
312	15199	81920
313	15249	81879
314	15301	81851
315	15359	81851
316	15404	81784
317	15452	81735
318	15505	81706
319	15555	81664
320	15613	81669
321	15660	81612
322	15707	81553
323	15759	81519
324	15816	81514
325	15863	81457
326	15918	81441
327	15971	81414
328	16041	81474
329	16100	81480
330	16150	81436
331	16203	81407
332	16255	81375
333	16301	81313
334	16349	81260
335	16402	81231
336	16452	81190
337	16492	81095
338	16544	81063
339	16590	81002
340	16634	80929
341	16685	80891
342	16747	80903
343	16803	80892
344	16887	81009
345	16941	80986
346	16983	80905
347	17042	80901
348	17092	80860
349	17137	80789
350	17201	80812
351	17255	80785
352	17308	80754
353	17358	80712
354	17409	80672
355	17455	80608
356	17505	80565
357	17566	80571
358	17614	80516
359	17668	80490
360	17720	80452
361	17784	80474
362	17847	80487
363	17906	80481
364	17960	80454
365	18022	80459
366	18079	80448
367	18133	80416
368	18187	80390
369	18249	80395
370	18302	80362
371	18359	80347
372	18406	80287
373	18451	80220
374	18501	80174
375	18553	80134
376	18606	80102
377	18653	80042
378	18701	79987
379	18749	79932
380	18804	79906
381	18862	79894
382	18919	79876
383	18974	79849
384	19024	79805
385	19077	79769
386	19124	79709
387	19172	79654
388	19227	79627
389	19276	79578
390	19337	79576
391	19386	79524
392	19450	79535
393	19501	79491
394	19552	79446
395	19620	79472
396	19670	79423
397	19731	79420
398	19775	79351
399	19840	79361
400	19900	79353
